name,city,state,url,sitemap_url1,sitemap_url2,sitemap_url3,sitemap_url4,sitemap_url5,notes,,,,,,
Daily Breeze,Los Angeles,California,http://dailybreeze.com,https://www.dailybreeze.com/sitemap.xml?yyyy=2020&mm=03&dd=29,,,https://www.dailybreeze.com/sitemap.xml?yyyy=%Y&mm=%m&dd=%d,,,,,,,,
The Courier-Journal,Louisville,Kentucky,https://courier-journal.com/,https://www.courier-journal.com/news-sitemap.xml,,,,,,,,,,,
The Telegraph,Macon,Georgia,http://www.macon.com/,https://www.macon.com/sitemap/story/googlenews.xml,https://www.macon.com/sitemap/story/update.xml,,,,,,,,,,
Wisconsin State Journal,Madison,Wisconsin,http://host.madison.com/wsj/,,,,,,,,,,,,
The Capital Times,Madison,Wisconsin,http://www.madison.com/tct/,https://madison.com/tncms/sitemap/news.xml,,,,,,,,,,,
Isthmus,Madison,Wisconsin,http://www.isthmus.com,https://isthmus.com/sitemap_news.xml,,,,,,,,,,,
New Hampshire Union Leader,Manchester,New Hampshire,http://unionleader.com/,http://www.unionleader.com/tncms/sitemap/news.xml,,,,,,,,,,,
The Commercial Appeal,Memphis,Tennessee,http://commercialappeal.com,https://www.commercialappeal.com/news-sitemap.xml,,,,,,,,,,,
The Miami Herald,Miami,Florida,http://miamiherald.com,https://www.miamiherald.com/sitemap/story/googlenews.xml,,,,,,,,,,,
South Florida Sun-Sentinel,Miami,Florida,http://www.sun-sentinel.com/,https://www.sun-sentinel.com/arcio/news-sitemap/,,,,,,,,,,,
Milwaukee Journal Sentinel,Milwaukee,Wisconsin,http://www.jsonline.com/,https://www.jsonline.com/news-sitemap.xml,,,,,,,,,,,
Shepherd Express,Milwaukee,Wisconsin,http://www.shepherdexpress.com/,https://shepherdexpress.com/sitemap_news.xml,,,,,,,,,,,
The Catholic Spirit,Minneapolis-St. Paul,Minnesota,http://thecatholicspirit.com,,,,,,,,,,,,
St. Paul Pioneer Press,Minneapolis-St. Paul,Minnesota,https://www.twincities.com/,,,,https://www.twincities.com/sitemap.xml?yyyy=%Y&mm=%m&dd=%d,,,,,,,,
The Daily News Journal,Murfreesboro,Tennessee,http://www.dnj.com,https://www.dnj.com/news-sitemap.xml,,,https://www.gannett-cdn.com/sitemaps/PMUR/web/web-sitemap-%Y-%m.xml,,,,,,,,
The Tennessean,Nashville,Tennessee,/wiki/MMAjunkie.com,,,,,,,,,,,,
Gambit Weekly,New Orleans,Louisiana,http://bestofneworleans.com/,,,,,,,,,,,,
Louisiana Weekly,New Orleans,Louisiana,http://www.louisianaweekly.com,,,,,,,,,,,,
The Times-Picayune | The New Orleans Advocate,New Orleans,Louisiana,https://www.nola.com/,,,,,,,,,,,,
Newsday,New York City,New York,http://www.newsday.com,,,,https://www.newsday.com/xml/sitemaps?type=article&year=%Y&month=%m,,,,,,,,
The Star-Ledger,Newark,New Jersey,https://www.nj.com/starledger/,"https://www.nj.com/arcio/news-sitemap/',",,,,,,,,,,,
Daily Press,Newport News,Virginia,http://dailypress.com,https://www.dailypress.com/arcio/news-sitemap/,,,,,,,,,,,
The Virginian-Pilot,Norfolk,Virginia,https://www.pilotonline.com/,https://www.pilotonline.com/arcio/news-sitemap/,,,,,,,,,,,
The Oklahoma Gazette,Oklahoma City,Oklahoma,http://okgazette.com/,https://www.okgazette.com/oklahoma/Sitemap.xml?id=News,,,,,,,,,,,
The Oklahoman,Oklahoma City,Oklahoma,http://www.oklahoman.com,,,,,,,,,,,,
Omaha World-Herald,Omaha,Nebraska,http://omaha.com,https://www.omaha.com/tncms/sitemap/news.xml,,,,,,,,,,,
The Philadelphia Inquirer,Philadelphia,Pennsylvania,http://www.inquirer.com,https://www.inquirer.com/sitemaps/current-month-sitemap-i.xml,,,,,,,,,,,
The Arizona Republic,Phoenix,Arizona,http://www.azcentral.com,https://www.azcentral.com/news-sitemap.xml',,,,,,,,,,,
Pittsburgh Post-Gazette,Pittsburgh,Pennsylvania,http://www.post-gazette.com,https://www.post-gazette.com/sitemaps/ssl/news-sitemap.xml,,,,,,,,,,,
