name	loc	city	state	news_wiki	city_wiki	lat	long	url	robots_url	robots_sitemap_urls	sitemap_url1	sitemap_url2	sitemap_url3	sitemap_url_template1	sitemap_url_template2																																																																																																																																																																																																									
Dallas Observer	Dallas, Texas	Dallas	Texas	https://en.wikipedia.org/wiki/Dallas_Observer	https://en.wikipedia.org/wiki/Dallas,_Texas	32deg46'45''N	96deg48'32''W	http://dallasobserver.com	http://dallasobserver.com/robots.txt	['https://www.dallasobserver.com/sitemap/content/']	https://www.dallasobserver.com/sitemap/content/1																																																																																																																																																																																																													
The Dayton Daily News	Dayton, Ohio	Dayton	Ohio	https://en.wikipedia.org/wiki/The_Dayton_Daily_News	https://en.wikipedia.org/wiki/Dayton,_Ohio	39deg45'34''N	84deg11'30''W	http://www.daytondailynews.com/	http://www.daytondailynews.com/robots.txt	[]																																																																																																																																																																																																														
Denver Post	Denver, Colorado	Denver	Colorado	https://en.wikipedia.org/wiki/Denver_Post	https://en.wikipedia.org/wiki/Denver,_Colorado	39deg44'21''N	104deg59'25''W	http://www.denverpost.com/	http://www.denverpost.com/robots.txt	['https://www.denverpost.com/sitemap.xml']	https://www.denverpost.com/sitemap.xml?yyyy=2020&mm=03&dd=29				https://www.denverpost.com/sitemap.xml?yyyy=%Y&mm=%m&dd=%d																																																																																																																																																																																																									
The Des Moines Register	Des Moines, Iowa	Des Moines	Iowa	https://en.wikipedia.org/wiki/The_Des_Moines_Register	https://en.wikipedia.org/wiki/Des_Moines,_Iowa	41deg35'27''N	93deg37'15''W	https://www.desmoinesregister.com	https://www.desmoinesregister.com/robots.txt	['https://www.desmoinesregister.com/news-sitemap.xml', 'https://www.desmoinesregister.com/web-sitemap-index.xml', 'https://www.desmoinesregister.com/video-sitemap-index.xml']	https://www.desmoinesregister.com/news-sitemap.xml																																																																																																																																																																																																													
The Detroit Free Press	Detroit, Michigan	Detroit	Michigan	https://en.wikipedia.org/wiki/Detroit_Free_Press	https://en.wikipedia.org/wiki/Detroit,_Michigan	42deg19'53''N	83deg02'45''W	https://www.freep.com	https://www.freep.com/robots.txt	['https://www.freep.com/news-sitemap.xml', 'https://www.freep.com/web-sitemap-index.xml', 'https://www.freep.com/video-sitemap-index.xml']	https://www.freep.com/news-sitemap.xml																																																																																																																																																																																																													
The Detroit News	Detroit, Michigan	Detroit	Michigan	https://en.wikipedia.org/wiki/The_Detroit_News	https://en.wikipedia.org/wiki/Detroit,_Michigan	42deg19'53''N	83deg02'45''W	https://www.detroitnews.com	https://www.detroitnews.com/robots.txt	['https://www.detroitnews.com/news-sitemap.xml', 'https://www.detroitnews.com/web-sitemap-index.xml', 'https://www.detroitnews.com/video-sitemap-index.xml']	https://www.detroitnews.com/news-sitemap.xml																																																																																																																																																																																																													
The Herald-Sun (Durham, North Carolina)	Durham, North Carolina	Durham	North Carolina	https://en.wikipedia.org/wiki/The_Herald-Sun_(Durham,_North_Carolina)	https://en.wikipedia.org/wiki/Durham,_North_Carolina	35deg59'19''N	78deg54'26''W	http://heraldsun.com/	http://heraldsun.com/robots.txt	['https://www.heraldsun.com/sitemap/story/update.xml', 'https://www.heraldsun.com/sitemap/story/archive.xml', 'https://www.heraldsun.com/sitemap/story/googlenews.xml', 'https://www.heraldsun.com/sitemap/blogpost/update.xml', 'https://www.heraldsun.com/sitemap/blogpost/archive.xml', 'https://www.heraldsun.com/sitemap/blogpost/googlenews.xml', 'https://www.heraldsun.com/sitemap/video/update.xml', 'https://www.heraldsun.com/sitemap/video/archive.xml', 'https://www.heraldsun.com/sitemap/update/sections.xml', 'https://www.heraldsun.com/sitemap/archive/sections.xml']	https://www.heraldsun.com/sitemap/video/archive/8.xml																																																																																																																																																																																																													
The Carolina Times	Durham, North Carolina	Durham	North Carolina	https://en.wikipedia.org/wiki/The_Carolina_Times	https://en.wikipedia.org/wiki/Durham,_North_Carolina	35deg59'19''N	78deg54'26''W			[]																																																																																																																																																																																																														
Indy Week	Durham, North Carolina	Durham	North Carolina	https://en.wikipedia.org/wiki/Indy_Week	https://en.wikipedia.org/wiki/Durham,_North_Carolina	35deg59'19''N	78deg54'26''W	http://www.indyweek.com	http://www.indyweek.com/robots.txt	['https://indyweek.com/sitemap.xml', 'https://indyweek.com/sitemap_news.xml']	https://indyweek.com/sitemap_news.xml																																																																																																																																																																																																													
El Paso Times	El Paso, Texas	El Paso	Texas	https://en.wikipedia.org/wiki/El_Paso_Times	https://en.wikipedia.org/wiki/El_Paso,_Texas	31deg45'33''N	106deg29'19''W	http://elpasotimes.com/	http://elpasotimes.com/robots.txt	['https://www.elpasotimes.com/news-sitemap.xml', 'https://www.elpasotimes.com/web-sitemap-index.xml', 'https://www.elpasotimes.com/video-sitemap-index.xml']	https://www.elpasotimes.com/news-sitemap.xml			https://www.gannett-cdn.com/sitemaps/PTX1/video/video-sitemap-%Y-%m.xml																																																																																																																																																																																																										
Erie Times-News	Erie, Pennsylvania	Erie	Pennsylvania	https://en.wikipedia.org/wiki/Erie_Times-News	https://en.wikipedia.org/wiki/Erie,_Pennsylvania	42deg7'46''N	80deg5'6''W	http://goerie.com	http://goerie.com/robots.txt	['http://goerie.com/section/google-news-sitemap', 'http://goerie.com/section/google-recent-sitemap-index', 'http://goerie.com/section/google-sitemap-index', 'http://goerie.com/section/google-gal-sitemap-index', 'http://goerie.com/section/google-zz-sitemap-index']	https://www.goerie.com/section/google-news-sitemap																																																																																																																																																																																																													
The Eugene Register-Guard	Eugene, Oregon	Eugene	Oregon	https://en.wikipedia.org/wiki/The_Eugene_Register-Guard	https://en.wikipedia.org/wiki/Eugene,_Oregon	44deg03'07''N	123deg05'12''W	http://registerguard.com	http://registerguard.com/robots.txt	['http://registerguard.com/section/google-news-sitemap', 'http://registerguard.com/section/google-recent-sitemap-index', 'http://registerguard.com/section/google-sitemap-index', 'http://registerguard.com/section/google-gal-sitemap-index', 'http://registerguard.com/section/google-zz-sitemap-index']	https://www.registerguard.com/section/google-news-sitemap	https://www.registerguard.com/section/google-recent-sitemap																																																																																																																																																																																																												
The Forum of Fargo-Moorhead	Fargo, North Dakota	Fargo	North Dakota	https://en.wikipedia.org/wiki/The_Forum_of_Fargo-Moorhead	https://en.wikipedia.org/wiki/Fargo,_North_Dakota	46deg52'38''N	96deg47'22''W	http://inforum.com	http://inforum.com/robots.txt	[]																																																																																																																																																																																																														
The Fayetteville Observer	Fayetteville, North Carolina	Fayetteville	North Carolina	https://en.wikipedia.org/wiki/The_Fayetteville_Observer	https://en.wikipedia.org/wiki/Fayetteville,_North_Carolina	35deg3'9''N	78deg52'41''W	http://www.fayobserver.com	http://www.fayobserver.com/robots.txt	['http://www.fayobserver.com/section/google-news-sitemap', 'http://www.fayobserver.com/section/google-recent-sitemap-index', 'http://www.fayobserver.com/section/google-sitemap-index', 'http://www.fayobserver.com/section/google-gal-sitemap-index', 'http://www.fayobserver.com/section/google-zz-sitemap-index']	https://www.fayobserver.com/section/google-news-sitemap																																																																																																																																																																																																													
Acento Latino	Fayetteville, North Carolina	Fayetteville	North Carolina	https://en.wikipedia.org/wiki/Acento_Latino	https://en.wikipedia.org/wiki/Fayetteville,_North_Carolina	35deg3'9''N	78deg52'41''W			[]																																																																																																																																																																																																														
The Flint Journal	Flint, Michigan	Flint	Michigan	https://en.wikipedia.org/wiki/The_Flint_Journal	https://en.wikipedia.org/wiki/Flint,_Michigan	43deg01'08''N	83deg41'36''W	http://www.mlive.com/flint/	http://www.mlive.com/robots.txt	['https://www.mlive.com/arcio/news-sitemap/']	https://www.mlive.com/arcio/news-sitemap/																																																																																																																																																																																																													
Fort Wayne Journal Gazette	Fort Wayne, Indiana	Fort Wayne	Indiana	https://en.wikipedia.org/wiki/Fort_Wayne_Journal_Gazette	https://en.wikipedia.org/wiki/Fort_Wayne,_Indiana	41deg04'49.62''N	85deg08'20.94''W			[]																																																																																																																																																																																																														
Fort Wayne News Sentinel	Fort Wayne, Indiana	Fort Wayne	Indiana	https://en.wikipedia.org/wiki/Fort_Wayne_News_Sentinel	https://en.wikipedia.org/wiki/Fort_Wayne,_Indiana	41deg04'49.62''N	85deg08'20.94''W	http://www.news-sentinel.com/	http://www.news-sentinel.com/robots.txt	[]																																																																																																																																																																																																														
Fort Worth Star-Telegram	Fort Worth, Texas	Fort Worth	Texas	https://en.wikipedia.org/wiki/Fort_Worth_Star-Telegram	https://en.wikipedia.org/wiki/Fort_Worth,_Texas	32deg45'N	97deg20'W	http://www.star-telegram.com	http://www.star-telegram.com/robots.txt	['https://www.star-telegram.com/sitemap/story/update.xml', 'https://www.star-telegram.com/sitemap/story/archive.xml', 'https://www.star-telegram.com/sitemap/story/googlenews.xml', 'https://www.star-telegram.com/sitemap/blogpost/update.xml', 'https://www.star-telegram.com/sitemap/blogpost/archive.xml', 'https://www.star-telegram.com/sitemap/blogpost/googlenews.xml', 'https://www.star-telegram.com/sitemap/video/update.xml', 'https://www.star-telegram.com/sitemap/video/archive.xml', 'https://www.star-telegram.com/sitemap/update/sections.xml', 'https://www.star-telegram.com/sitemap/archive/sections.xml']	https://www.star-telegram.com/sitemap/story/googlenews.xml	https://www.star-telegram.com/sitemap/story/update.xml																																																																																																																																																																																																												
The Fresno Bee	Fresno, California	Fresno	California	https://en.wikipedia.org/wiki/The_Fresno_Bee	https://en.wikipedia.org/wiki/Fresno,_California	36deg45'N	119deg46'W	http://www.fresnobee.com/	http://www.fresnobee.com/robots.txt	['https://www.fresnobee.com/sitemap/story/update.xml', 'https://www.fresnobee.com/sitemap/story/archive.xml', 'https://www.fresnobee.com/sitemap/story/googlenews.xml', 'https://www.fresnobee.com/sitemap/blogpost/update.xml', 'https://www.fresnobee.com/sitemap/blogpost/archive.xml', 'https://www.fresnobee.com/sitemap/blogpost/googlenews.xml', 'https://www.fresnobee.com/sitemap/video/update.xml', 'https://www.fresnobee.com/sitemap/video/archive.xml', 'https://www.fresnobee.com/sitemap/update/sections.xml', 'https://www.fresnobee.com/sitemap/archive/sections.xml']	https://www.fresnobee.com/sitemap/story/googlenews.xml	https://www.fresnobee.com/sitemap/story/update.xml																																																																																																																																																																																																												
